/*********************************************
 * OPL 12.7.1.0 Data
 * Author: varas
 * Creation Date: 02-12-2018 at 17:31:49
 *********************************************/

n=15;
k=5;
C=[
[0 2900 6700 1200 8700 7700 7800 700 4500 2100 3100 3200 3100 2100 1900 1700],
[3400 0 8200 3200 9100 9000 10800 3300 11700 5000 4400 7200 900 1500 4700 2100],
[9100 9600 0 9900 3700 7500 19900 9700 8700 10300 5900 5500 8800 8800 10000 10200],
[850 3700 6700 0 8700 7700 7600 1100 4500 1800 4700 7000 3900 3000 1500 2400],
[6000 6400 3600 6700 0 4300 13500 6600 5600 7100 2800 2300 5700 5600 6800 7000],
[8500 9000 4900 9300 6900 0 11700 9100 5200 9700 5300 4900 10000 8200 9400 9600],
[4900 7700 9000 5600 11000 10000 0 5400 5400 6000 7000 9300 7900 7000 5800 6600],
[180 2500 6700 350 8700 7800 7600 0 4500 1800 3300 3400 3200 2000 1600 1300],
[4900 6700 6400 4700 8400 4500 13700 4500 0 7300 4300 4400 8000 7100 7100 5500],
[1800 4300 7800 2200 9800 8800 8700 1800 5600 0 4900 5000 4800 3900 700 3100],
[4200 4600 3000 5000 5000 4100 13300 4800 3800 5400 0 800 4800 3900 5100 5300],
[4700 4200 3500 3600 5500 4500 13700 3500 4300 5800 450 0 4300 3400 5600 4100],
[2800 1500 7800 3000 8700 8500 10400 2900 11200 4700 3900 4000 0 1600 4400 2500],
[1700 1300 5900 1400 7900 6900 9300 1500 5700 3600 2800 3000 1400 0 3300 1100],
[1100 3600 7100 1500 9100 8100 8000 1100 4900 1000 4200 4300 4100 3200 0 2400],
[1400 1300 7900 1200 9900 8900 8800 1300 5400 3000 3300 3400 2200 1300 2700 0]
];


